español	quechua
Mi pasatiempo es leer los cómics.	 Kusirikuyniyqa comics nisqakunata ñawinchaymi.
Mi pasatiempo es leer novelas.	 Kusirikuyniyqa novelakunata ñawinchaymi.
Mi ciudad natal es muy bonita.	 Llaqtayqa ancha sumaqmi.
Mi casa está en las afueras.	 Wasiyqa hawa llaqtakunapim kachkan.
Me parece que mi idea es mejor.	 Yuyaykuni aswan allin kasqanmanta.
Mi laburo es enseñar inglés.	 Llamkayniyqa inglés simita yachachiymi.
Mi trabajo es enseñar inglés.	 Llamkayniyqa inglés simita yachachiymi.
Mi cuchillo ha perdido su filo.	 Cuchilloyqa kantunta chinkachisqañam.
Mi madre tiene dos hermanos.	 Mamayqa iskay wawqiyuqmi.
Mi madre está haciendo una tarta.	 Mamayqa tortata ruwachkan.
Mi madre está gravemente enferma.	 Mamayqa sinchitan onqoshan.
Mi madre se está sintiendo mejor.	 Mamayqa allintam sientekuchkan.
Mi nuevo curso comienza hoy.	 Musuq kursuyqa kunan punchawmi qallarin.
Mi sobrina es una niña seria.	 Sobrinayqa serio sipasmi.
Mis padres aún son jóvenes.	 Tayta-mamayqa waynaraqmi.
Mis padres son oriundos de China.	 Tayta-mamayqa China nacionmantan kanku.
Mis padres me dejaron ir allí.	 Tayta-mamaymi chayman rinaypaq saqiwarqaku.
Mis padres me dejan ir allí.	 Tayta-mamaymi chayman rinaypaq saqiwarqaku.
Mis padres se aman.	 Tayta-mamayqa kuyanakunku.
Mi paciencia tiene un límite.	 Pacienciayqa huk limiteyoqmi.
Mi hermana tiene un bonito piano.	 Ñañayqa sumaq pianoyuqmi.
Mi hermana ama la música.	 Ñañayqa anchatam munan takikunata.
A mi hermana le encanta la música.	 Ñañayqa anchatam munan takikunata.
Mi hermana se casó con un doctor.	 Ñañayqa doctorwanmi casarakurqa.
Mi hermana juega con muñecas.	 Ñañayqa muñecakunawanmi pukllan.
Mi hijo es más alto que yo.	 Wawayqa ñuqamanta aswan hatunmi.
Mi padrastro era diabético.	Padrastroyqa diabetes onqoyniyoqmi karan.
Mi tío me obsequió el reloj.	 Tiyuymi chay relojta quwarqa.
Mi mujer está intentando dormir.	 Warmiyqa puñuyta munachkan.
Mi esposa está intentando dormir.	 Warmiyqa puñuyta munachkan.
Mi esposa va a matarme.	 Warmiymi wañuchiwanqa.
Mi esposa me va a matar.	 Warmiymi wañuchiwanqa.
Ninguno de ellos lucía viejo.	 Manan mayqenninkupas machu hinachu rikch’akurqanku.
Vale la pena visitar Nueva York.	 Nueva York llaqtataqa watukunapaqmi.
Se están construyendo nuevas viviendas.	 Musuq wasikunatam rurachkanku.
Nadie nos trajo nada.	 Manam pipas imatapas apamuwarqakuchu.
Nadie puede saberlo todo.	 Manan pipas tukuyta yachayta atinmanchu.
Nadie pudo encontrar la caverna.	 Chay machaytaqa manam pipas tariyta atirqachu.
Nunca se es demasiado viejo para aprender.	 Manam haykapipas yachanaykipaqqa machuñachu kanki.
Nadie es demasiado viejo para aprender.	 Manan pipas ancha machuñachu yachananpaq.
Nunca es tarde para aprender.	 Manam haykapipas tardechu yachanapaq.
Nadie sabe qué pasó.	 Manan pipas yachanchu imachus pasasqanmanta.
Nadie sabe qué sucedió.	 Manan pipas yachanchu imachus pasasqanmanta.
Nadie vive en esa casa.	 Chay wasipiqa manam pipas yachanchu.
Nadie vive en esta casa.	 Kay wasipiqa manam pipas yachanchu.
Nadie se preguntó nada.	 Manam pipas imatapas tapukurqachu.
Nadie me dijo nada.	 Manam pipas imatapas willawarqachu.
Nadie me manda.	 Manam pipas kachawanchu
Nadie confía más en él.	 Manañam pipas paypi hapipakunñachu.
Ya nadie trabaja ahí.	 Manañam pipas chaypiqa llamkanchu.
Nadie se cree lo que digo.	 Nisqaytaqa manam pipas creenchu.
Nadie puede saberlo todo.	 Manan pipas tukuyta yachayta atinmanchu.
Nadie escuchó los gritos de Tom.	 Tompa qapariynintaqa manam pipas uyarirqachu.
Nadie oyó sonar la campana.	 Manam pipas uyarirqachu campana waqaqta.
Nadie va a detenerme.	 Manam pipas harkawanqachu.
Nunca se es demasiado viejo para aprender.	Manam haykapipas yachanaykipaqqa machuñachu kanki.
Nunca es tarde para aprender.	 Manam haykapipas tardechu yachanapaq.
Nadie vive en esta casa.	 Kay wasipiqa manam pipas yachanchu.
Nadie se percató de su ausencia.	 Manam pipas repararqachu mana kasqanpi.
Nadie se percató del error.	 Chay pantasqankutaqa manam pipas repararqachu.
Nadie lee los mensajes largos.	 Unay willakuykunataqa manam pipas ñawinchanchu.
Nadie debería apoyar esto.	 Manan pipas chaytaqa yanapananchu.
Nadie te va a contratar.	 Manam pipas contratasunkichu.
Nadie va a hacerte daño.	 Manan pipas k’irisunkichu.
Ninguno de mis estudiantes reprobó.	 Manan mayqen estudianteypas mana allintachu ruwarqan.
No había una sola nube a la vista.	 Manam huk puyullapas rikukurqachu.
No todas las rubias son estúpidas.	 Mana tukuy rubiokunachu sonso kanku.
No todos pueden ser poetas.	 Mana tukuy runachu harawiq kayta atinku.
No pasó nada al fin y al cabo.	 Tukuyninpiqa manam imapas pasarqachu.
Ahora yo también estoy resfriado.	 Kunanqa chiriwanñataqmi kani.
Ahora quiero ir y hacerlo.	 Kunanqa rispa ruwayta munani.
Ahora, no seas impaciente, por favor.	 Kunanqa, ama mana pacienciayoq kaychu, ama hina kaspa.
Ahora es el turno de mi hermano.	 Kunanqa wawqiypa turnonñam.
¿No te sientes mejor ahora?	 ¿Manachu kunanqa allinta sientekunki?
Por supuesto que es ilegal.	 Ciertamente mana kamachiyman hinachu.
¡Oh! Lamento oír eso.	 Waw! Chayta uyarispaymi llakikuni.
Oh, no te preocupes por eso.	 Oh ama llakikuychu chaymanta.
Una sola lengua no es suficiente.	 Huk rimayllaqa manam aypanchu.
Uno no debe abusar de los animales.	 Huk runaqa manam uywakunataqa abusanchu.
Hay que cumplir las reglas.	 Kamachiykunata kasukunayki tiyan.
Uno de mis hijos está malo.	 Huknin churiymi onqosqa kachkan.
Una cosa lleva a la otra.	 Huk kaqninmi hukman pusawanchik.
Un año tiene doce meses.	 Huk wataqa chunka iskayniyuq killayuqmi.
Uno es nuevo. El otro es viejo.	Hukninmi musuq. Hukninñataqmi machuña.
Solo Tom no quiso ir.	 Tomllam mana riyta munarqachu.
Abre tu libro en la página diez.	 Libroykita kichay chunka paginakama.
Abrid vuestros libros por la página 86.	 Libroykikunata kichay 86 paginapi.
La comida orgánica sabe mejor.	 Orgánico nisqa mikhuyqa aswan allinmi.
Nuestro manzano está floreciendo.	 Manzana sach’anchismi t’ikashan.
Nuestro bebé no habla todavía.	 Wawanchikqa manaraqmi rimanchu.
