español	quechua
Ella tiene muchos amigos en Hong Kong.	 Hong Kong llaqtapiqa achka amistadniyuqmi.
Ella puso su casa en venta.	 Wasintam rantikunanpaq churarqa.
Ella ha puesto su casa en venta.	 Payqa wasintam rantikunanpaq churarun.
Ella colgó el calendario en el muro.	 Chay calendariotaqa perqamanmi warkusqa.
Ella invitó a sus amigos a cenar.	 Payqa amigonkunatan invitarqan cenanankupaq.
Ella es una empleada en el supermercado.	 Payqa hatun qhatu wasipi llamk’aqmi.
Ella está ausente por motivos de salud.	 Payqa qhali kayninraykun mana chaypichu kashan.
Ella es bella como Blancanieves.	 Payqa Blanca Nieve hinam sumaqllaña.
Ella es tan guapa como Blancanieves.	 Payqa Blanca Nieves hina sumaqmi.
Ella está avergonzada de su ropa vieja.	 Ñawpa pachanmanta p'enqakun.
Ella se está portando bien por ahora.	 Kunankamaqa allintam ruwachkan.
Ella está comprando un juguete para su niño.	 Wawanpaq pukllanata rantichkan.
Ella está constantemente escribiendo cartas.	 Payqa sapa kutim cartakunata qillqachkan.
Ella está separada de sus padres.	 Payqa tayta-mamanmanta t’aqasqa kashan.
Es más lista que guapa.	 Payqa aswan yachaysapam sumaqllañamantaqa.
Ella no está nada sorprendida.	 Payqa manan imapipas admirakunchu.
Ella está ahora con la moral baja.	 Kunanqa pisi yuyayniyoqmi kashan.
Ella está relacionada con él mediante matrimonio.	 Payqa casarasqawanmi paywan aylluchakun.
Ella está viajando alrededor del mundo.	Payqa pachantinpin purishan.
Ella no puede manejar el estrés.	 Payqa manan estrés nisqataqa aguantayta atinchu.
A ella le encanta escribir poemas.	 Payqa harawi qillqaytam anchata munan.
Está muy orgullosa de su hija.	 Payqa ususinmantan anchata orgulloso.
¿Le falta experiencia, no?	 Experiencian faltasunki, ¿riki?
Ella condujo al anciano a la habitación.	 Chaysi chay machu runata pusasqa chay cuartoman.
Ella dejó a su hijo solo en el coche.	 Churintam sapallanta carropi saqirqa.
A ella le gusta el olor de los pinos.	 Paymanqa gustanmi pino sachakunapa asnaynin.
Parecía como si hubiese estado enferma.	 Unqusqapaschá rikchakurqa.
Ella hizo galletas para los niños.	 Payqa wawakunapaqmi galletakunata ruwaq.
Ella le preparó una tarta para su fiesta.	 Payqa fiestanpaqmi tortata ruwarqa.
Ella me hizo esperar media hora.	 Payqa kuskan horatan suyachiwarqan.
Debe de haber sido muy guapa.	 Ancha sumaqchá karqan.
Debe de haber sido muy hermosa.	 Ancha sumaqchá karqa.
Debió haber tomado el colectivo equivocado.	 Payqa pantasqa autobuspichá rirqa.
Ella tocó la guitarra y él cantó.	 Payqa guitarrata tocaq, paytaq takiq.
Ella le rogó que no se fuera.	 Payqa valekurqanmi ama rinanpaq.
Ella le suplicó que no se fuese.	 Payqa valekurqanmi ama rinanpaq.
Ella le presionó para que dejase su trabajo.	 Paymi hikutarqa llamkayninta saqinanpaq.
Ella prometió no volver a llegar tarde.	 Payqa prometekurqanmi manaña tardeyananpaq.
Ella ahorró una buena cantidad de dinero.	 Payqa allin qolqetan waqaycharqan.
Puso la revista sobre la mesa.	 Chay revistatan mesa pataman churarqan.
Ella se sentó y se cruzó de piernas.	Tiyaykuspanmi chakinta chimpaykusqa.
Se sentó y cruzó las piernas.	 Tiyaykuspan chakinta chimpaykusqa.
Gritó al ver una serpiente.	 Mach’aqwayta rikuspa qaparirqa.
Ella cose con aguja e hilo.	 Payqa agujawan, q’aytuwanmi siran.
Ella debería ser acusada de homicidio.	 Payqa runa wañuchiymantan huchachasqa kanan.
Ella lo debería saber mejor a su edad.	 Payqa edadninpi aswan allinta yachanan.
Ella le habló acerca de ese asunto.	 Chay asuntomantam paywan rimarqa.
Ella se quedó ahí por varios días.	 Chaypin askha p’unchay qhepakurqan.
Ella revolvió la sopa con una cuchara.	 Chay sopata cucharawan kuyurichirqa.
Ella le robó un montón de dinero a él.	 Paymantan askha qolqeta suwasqa.
Ella enseñó música durante treinta años.	 Kimsa chunka wata musikata yachachirqan.
Enseñó música durante treinta años.	 Kimsa chunka wata musikata yachachirqan.
Ella siempre está pensando en él.	 Payqa sapa kutillanmi paypi yuyaykushan.
Ella le dijo que quería el divorcio.	 Paymi nirqa divorciakuyta munasqanmanta.
Ella le dijo que se iba.	 Payqa ripushasqanmantan willasqa.
Cogió algo de carne del plato.	 Chay platomanta aychata hoqarisqa.
Ella nos cautivó a todos con su sonrisa.	 Payqa asiriyninwanmi llapaykuta hapiwarqaku.
Ella nos cautivó a todas con su sonrisa.	 Payqa asiriyninwanmi llapaykuta hapiwarqaku.
Ella me trata como si fuera un bebé.	 Payqa wawacha hinam qawawan.
Ella visitó a su marido en la cárcel.	 Payqa carcelpi qosanta watukuq.
Ella quería que él le ayudara a su padre.	 Payqa taytanta yanapanantam munarqa.
Ella quería que él le cantara una canción.	 Payqa munarqanmi huk taki takinanta.
Ella quiere que él sea sólo un amigo.	Payqa munanmi amigollan kananta.
Ella quiere tomar un poco de leche caliente.	 Payqa ruphay lecheta upyayta munan.
Ella quiere trabajar en el hospital.	 Payqa hospitalpi llamk’ayta munan.
Ella temía despertar al bebé.	 Payqa manchakurqam wawata rikcharichiyta.
Ella fue contratada como intérprete.	 Paytaqa intérprete kananpaqmi contratarqanku.
Ella se lesionó en un accidente automovilístico.	 Payqa carropi accidentepin k’irisqa karqan.
Sus amigos se rieron de ella.	 Amistadninkunam paymanta asikurqaku.
Ella no estaba de humor para almorzar.	 Payqa manan almuerzopaqchu kasharqan.
Ella fue la primera en ayudarle.	 Paymi ñawpaqta yanaparqan.
Ella llevaba un conjunto maravilloso.	 Payqa sumaq p’achawanmi churasqa kashasqa.
Ella no era amistosa con él entonces.	 Chaypachaqa manan paywanqa amigontinchu karqan.
Ella lo miraba pintar una pintura.	 Payqa qhawashasqa huk pinturata pintasqanmanta.
Salió enfurecida de la habitación.	 Payqa chay cuartomantam kallpawan lluqsirqa.
El otro día ella fue al cine.	 Huk punchawmi cineman rirqa.
Ella fue a verlo el otro día.	 Payqa qayna punchawmi payta qawaq rirqa.
Se fue a la tienda en bicicleta.	 Bicicletanwanmi tiendaman rirqa.
Ella te cuidará de ahora en adelante.	 Paymi kunanmantapacha cuidasunki.
Ella trabaja para la inteligencia francesa.	 Payqa Franciamanta yachaysapakunapaq llamk'an.
Ella vendrá a las tres y cuarto.	 Payqa kimsa cuarto horasta hamunqa.
Ella es una mujer de fuerte carácter.	 Payqa kallpasapa warmim.
Es una esposa y madre maravillosa.	 Payqa sumaq warmim, mamataqmi.
Ella ya se olvidó de ti.	 Payqa qunqarurqañam qanmanta.
Está preocupada por tu seguridad.	 Payqa llakisqa kachkan seguridadniykimanta.
Ella tiene tres años más que yo.	 Payqa kimsa wata kuraqmi ñuqamanta.
