español	quechua
Eres el mejor padre del mundo.	Kay pachapi aswan allin taytam kanki.
Eres la persona más perezosa que conozco.	 Qanmi kanki aswan qella runa reqsisqaymanta.
Eres la persona más floja que conozco.	 Qanmi kanki aswan qella runa reqsisqaymanta.
Me has olvidado, ¿verdad?	 Qunqaruwankiñam, ¿aw?
Tienes derecho a ser feliz.	 Kusisqa kanaykipaqqa derechoyoqmi kanki.
Tienes que ser más agresivo.	 Aswan maqanakuqmi kanayki.
Tu aprobación es importante para mí.	 Aprobacionniykiqa ancha allinmi ñoqapaqqa.
Tu bicicleta es mejor que la mía.	 Bicicletaykiqa aswan allinmi ñuqamanta.
Tu redacción es por ahora la mejor.	 Qillqasqaykiqa karumantaraqmi aswan allinqa.
Tu irresponsabilidad me desconcierta.	 Irresponsabilidadniykiqa musphachiwanmi.
Tu apodo te va perfecto.	 Sutiykiqa allintam tupasunki.
Tu plan parece mejor que el mío.	 Plannikiqa aswan allinmi rikchakun ñuqamantaqa.
Se te está saliendo el segundo botón.	 Iskay kaq botonmi lluqsimuchkan.
Tu secreto estará a salvo conmigo.	 Pakasqallaykiqa allinmi kanqa ñuqawan.
Guardaré tu secreto.	 Pakasqaykitaqa waqaychasaqmi.
Su sugerencia parece razonable.	 Yuyaymanasqaykiqa allinpaqmi rikchakun.
"""¿Algo más?"" ""No, eso es todo."""	 - ¿Imapas huk? -Manan chayllachu.
"""¿Estás cansado?"" ""No, en absoluto."""	" - Sayk’usqañachu kanki? ""Manam, manapunim."""
«¿Cómo estás?» «No me puedo quejar.»	" ""Imaynallam?"" —Manan quejakuyta atiymanchu."
«¿Qué tal?» «No me puedo quejar.»	" ""Imaynallam?"" —Manan quejakuyta atiymanchu."
Un test de ADN probó su inocencia.	 ADN nisqamanta pruebapin rikuchirqan mana huchayoq kasqanmanta.
Una prueba de ADN mostró que era inocente.	 ADN nisqamanta pruebapin rikukurqan mana huchayoq kasqanta.
Una pelota entró volando por la ventana.	 Huk pelota ventanamanta phawaykamurqan.
Un oso no tocará un cadáver.	Osoqa manan ayataqa llamiykunqachu.
Un convicto ha escapado de prisión.	 Huk huchachasqa runan carcelmanta ayqekun.
Un árbol caído obstruyó la carretera.	 Huk urmasqa sach’a ñanta hark’arqan.
Te harán bien unos días de descanso.	 Iskay kinsa p’unchay samariyqa allintan yanapasunki.
Algunos estaban borrachos la mayor parte del tiempo.	 Wakinqa yaqa llapanpim machasqa karqaku.
Se produjo un incendio durante la noche.	 Tutamanta nina rawrarirqa.
Te vendrá bien un vaso de agua.	 Huk vaso unuqa allintam yanapasunki.
La mayoría votó contra el proyecto de ley.	 Yaqa llapankum chay kamachikuypa contranpi votarqaku.
Un nuevo estudiante entró en la clase.	 Huk musuq yachakuqmi chay claseman yaykururqa.
Un loro puede imitar el habla humano.	 Loroqa runapa rimaynintam qatipakunman.
Una parte de mí siempre te amará.	 Huk parteymi munakusunkipuni.
Una parte de mí siempre te querrá.	 Huk parteymi munakusunkipuni.
Una persona vale más que el dinero.	 Runaqa qullqimantaqa aswan chaninniyuqmi.
El arcoíris es un fenómeno natural.	 Arco iris nisqaqa pachamamapi kaqmi.
Los pétalos de la rosa son muy delicados.	 Rosa raphikunaqa ancha sumaqmi.
Un niño durmiendo es como un ángel.	 Puñuq wawaqa angel hinam.
Un niño que duerme es como un ángel.	 Puñuq wawaqa angel hinam.
Me habló un extraño en el autobús.	 Autobuspi mana riqsisqa runam rimapayawarqa.
Cree el ladrón que todos son de su condición.	 Suwaqa creenmi llapa runa imayna kasqanpi.
Mil dólares es una gran suma.	 Waranqa qullqiqa hatun qullqim.
Los accidentes surgen de la falta de atención.	 Accidentekunaqa mana atencionwanmi rikurin.
Según ella, él no viene.	 Paypa nisqanman hinaqa manam hamuchkanchu.
Achille nació en París en 1908.	 Achilleqa 1908 watapi Paris llaqtapi paqarirqan.
