español	quechua
Creo que es hora de que me largue.	Yuyaykuni rinaypaq tiempoña kasqanmanta.
Creo que es hora de que me pire de aquí.	 Yuyaykuni kaymanta lluqsinaypaq pachaña.
Creo que lo mejor está por llegar.	 Yuyaykuni aswan allinqa hamunanraqmi.
Creo que Tom podría haberse perdido.	 Tomqa chinkasqachá kanman karqan, nispan yuyaykuni.
Creo que los recortes de impuestos pueden estimular el crecimiento.	 Yuyaykuni impuestokuna pisiyachiyqa wiñayta kallpachanman.
Creo que esta es la mejor forma de hacerlo.	 Kaymi aswan allin ruway kasqanmanta yuyaykuni.
Creo que debemos esperar un poco más.	 Yuyaykuni aswan unayta suyananchista.
Creo que deberíamos volver a Boston.	 Yuyaykuni Boston llaqtaman kutinanchista.
Pienso que deberíamos hacer algo estúpido.	 Yuyaykuni ima sonsotapas ruwananchista.
Creo que deberías comerte un sándwich de jamón.	 Yuyaykuni huk sándwich jamp’iyuqta mikhunaykita.
Creo que te preocupas demasiado por la comida.	 Mikhuymanta llumpay llakikusqaykita yuyani.
Creo que sería mejor que fueras a visitarle.	 Yuyaykuni aswan allin kanman payta watukuq rispaykiqa.
Creo que eres el único al que le importa.	 Yuyaykuni qanlla preocupakusqaykita.
Creo que eres la única a la que le importa.	 Yuyaykuni qanlla preocupakusqaykita.
Creo que usted es el único al que le importa.	 Yuyaykuni qanlla preocupakusqaykita.
Creo que usted es la única a la que le importa.	 Yuyaykuni qanlla preocupakusqaykita.
Yo creo que eres el único al que le importa.	 Yuyaykuni qanlla preocupakusqaykita.
Yo creo que usted es el único al que le importa.	 Yuyaykuni qanlla preocupakusqaykita.
Yo creo que eres la única a la que le importa.	 Yuyaykuni qanlla preocupakusqaykita.
Yo creo que usted es la única a la que le importa.	 Yuyaykuni qanlla preocupakusqaykita.
Creo que no te funciona el micrófono.	Micrófonoyki mana llamk’achkanchu, nispa yuyani.
Pensé que Tom y Mary estaban muertos.	 Tomwan Marywanqa wañusqaña kasqankutan yuyaykurqani.
Pensé que Tom había dejado a Mary hace un mes.	 Yuyarqanim Tomqa huk killa ñawpaqtaraq Maryta saqisqanmanta.
Pensé que Tom le diría hola a María.	 Tomqa Mariata napaykunanpaqmi piensarqani.
Pensé que Tom no reconocería a Mary.	 Yuyarqanin Tomqa mana Mariata reqsinanta.
Estaba convencido de que iba a morir.	 Payqa convencisqam karqa wañunanmanta.
Pensé que era Tom, pero era John.	 Tom kananpaqmi piensarqani, ichaqa Johnmi karqa.
Pensé que era ilegal estacionarse aquí.	 Kaypi estacionayqa mana kamachiyman hinachu kasqanmantam piensarqani.
Pensé que era lo menos que podía hacer.	 Piensarqanim aswan pisi ruway atisqayta.
Pensé que sería divertido sorprender a Tom.	 Tomta admirachiyqa kusikuypaqmi kanman nispam piensarqani.
Pensé que ellos te ofrecieron un puesto de trabajo.	 Yuyarqanim llamkayta qususqaykita.
Pensé que nos divertiríamos juntos.	 Yuyarqanim kuska kusirikunaykupaq.
Pensaba que sabías hablar francés.	 Francés simita rimayta yachasqaykita yuyarqani.
Pensé que disfrutabas de mi compañía.	 Yuyarqanim compañiaywan kusisqa kasqaykita.
Pensé que a lo mejor querrías saber.	 Yuyarqanim yachayta munankimanpas.
Pensé que tal vez quisieran saber.	 Yuyarqanim yachayta munankimanpas.
Pensé que quizás quisieras saber.	 Yuyarqanim yachayta munankimanpas.
Creí que dijiste que era urgente.	 Urgente kasqanmanta nisqaykitam piensarqani.
Pensé que dijiste que tenías un perro.	 Allquyuq kasqaykita nisqaykitam piensarqani.
Pensé que ibas a renunciar.	 Yuyarqanin saqepunaykita.
Pensé que te habías ido y me habías dejado.	 Rispa saqiwasqaykitam piensarqani.
Pensé que este edificio estaba abandonado.	 Kay wasiqa saqisqa kasqanmantam piensarqani.
Pensé que podríamos juntarnos más tarde.	Yuyarqanim qipaman tupanaykupaq.
Pensé que íbamos a salir a cenar.	 Ñoqaqa yuyaykurqanin cenaq lloqsinaykuta.
Pensé que no íbamos a hacer esto.	 Manam kaytaqa ruwasaqkuchu nispam piensarqani.
Pensé que nos preocuparíamos por eso más tarde.	 Chaywanmi qhepaman llakikunanchista yuyaykurqani.
Pensé que no te importaba el dinero.	 Yuyarqanim qullqimanta mana llakikusqaykita.
Creí que dijiste que era urgente.	 Urgente kasqanmanta nisqaykitam piensarqani.
Pensé que dijiste que tenías un perro.	 Allquyuq kasqaykita nisqaykitam piensarqani.
Pensé que querías que Tom se casara contigo.	 Tom qanwan casarakunanta munasqaykitan yuyaykurqani.
Pensé que estabas saliendo con Tom.	 Tomwan riqsinakusqaykitam piensarqani.
Pensé que te ibas a quedar en casa.	 Yuyarqanim wasiykipi qipanaykita.
Pensé que ibas a visitar a Tom.	 Tomta watukunaykipaqmi piensarqani.
Pensé que le interesaría.	 Yuyarqanim interesakunaykita.
Encontré interesante tu comentario.	 Comentarioykitaqa interesantepaqmi tarirqani.
Até a mi perro a un árbol del jardín.	 Allquyta huertapi sachaman watarqani.
Amarré a mi perro al árbol en el jardín.	 Allquyta huertapi sachaman watarqani.
Les dije que me mandaran otro boleto.	 Huk boletota apachimuwanankupaqmi nirqani.
Les dije que me enviaran otro ticket.	 Huk boletota apachimuwanankupaqmi nirqani.
Te dije que no le contaras eso a nadie.	 Nirqaykiñam chayta ama pimanpas willanaykipaq.
Te dije que no quería una fiesta.	 Nirqaykiñam fiestata mana munasqayta.
Te dije que nunca me rendiría.	 Nirqaykiñam mana haykapipas saqisaqchu nispa.
Tomé mi temperatura cada seis horas.	 Sapa soqta horapin temperaturayta hap’iq kani.
Traduje el contrato al francés.	 Chay contratotan francés simiman t’ikrarqani.
Intenté fingir que no me importaba.	 Mana imananpaschu hina ruwanaypaqmi kallpanchakurqani.
Traté de fingir que no me importaba.	Mana imananpaschu hina ruwanaypaqmi kallpanchakurqani.
Intenté fingir que me la traía al fresco.	 Chayta q’uñiman apamusqaymanjina ruwayta munarqani.
Traté de fingir que me la traía al fresco.	 Q’oñiman pusashaq hina ruwayta munarqani.
Intenté fingir que me traía sin cuidado.	 Mana imananpaschu hina ruwanaypaqmi kallpanchakurqani.
Traté de fingir que me traía sin cuidado.	 Mana imananpaschu hina ruwanaypaqmi kallpanchakurqani.
Yo trato de hacer eso por lo menos una vez en la semana.	 Semanapi huk kutillatapas chayta ruwanaypaqmi kallpachakuni.
Apagué la lámpara y me quedé dormido.	 Lamparata wañuchispaymi puñururqani.
Entiendo cómo resolver el problema.	 Entiendenim imaynatam chay sasachakuy allichayta.
Yo tenía uno, pero me lo robaron.	 Hukninmi karqan, ichaqa suwasqa karqan.
Esperé todo el día que Tom volviera.	 Tukuy punchawmi suyarqani Tom kutimunanta.
Yo te aguardé hasta que salieras de prisión.	 Carcelmanta lloqsinaykikamam suyarqayki.
Lo esperé despierto hasta las diez.	 Chunkakamam suyarqani.
Quiero un abogado que sepa hablar inglés.	 Inglés simita rimayta yachaq abogadota munani.
Quiero que todos sepan lo que pasó.	 Munani llapa runa yachanankuta imachus pasasqanmanta.
Quiero que todo el mundo conozca lo ocurrido.	 Munani llapa runa yachanankuta imachus pasasqanmanta.
Quiero algo para leer en el tren.	 Trenpi imapas ñawinchayta munani.
Yo quiero que ustedes dos dejen de discutir.	 Munanim iskaynikichik manaña atipanakunaykichikta.
Quiero disculparme por lo del otro día.	 Huk punchawmanta disculpata mañakuyta munani.
Te quiero hacer una sencilla pregunta.	 Huk sasan tapukuytam ruwayta munani.
Quiero hacerte algunas preguntas más.	 Iskay kimsa tapukuykunatawanmi ruwayta munani.
Quiero comprarle un regalo a mi novia.	 Noviaypaqmi huk regalota rantiyta munani.
Tengo que consultarle una cosa.	Imatapas tapunaymi.
Quiero ayudarle a llevar los paquetes.	 Yanapayta munani chay paquetekunata apanaykipaq.
Quiero ayudarte con los deberes.	 Tareasniykipi yanapayta munani.
Quiero tener un gato en vez de un perro.	 Allqupa rantinpi misiyuq kayta munani.
Quiero matar a Tom antes que él me mate.	 Tomtaqa manaraq wañuchiwashaqtinmi wañuchiyta munani.
Quiero saber qué estás haciendo acá.	 Kaypi imata ruwasqaykita yachayta munani.
Quiero saber que le pasó a Tom.	 Yachaytan munani Tomwan imachus pasasqanmanta.
Quiero saber por qué no te gusta Tom.	 Yachayta munani imarayku mana Tomta gustasqaykita.
Quiero aprender a tocar la flauta.	 Flauta tocayta yachayta munani.
Quiero vivir en casa con mi familia.	 Familiaywanmi wasiypi tiyayta munani.
Deseo verle cuanto antes.	 Usqhaylla rikuyta munani.
