español	quechua
Hay tres hombres esperándote afuera.	Hawapiqa kimsa runakunam suyachkasunkichik.
Hay tres hombres esperándote fuera.	 Hawapiqa kimsa runakunam suyachkasunkichik.
Hay árboles a ambos lados del río.	 Mayupa iskaynin lawninpim sachakuna kachkan.
Los personajes principales de este cuento son dos.	 Kay willakuypi hatun runaqa iskaymi.
Hay dos personajes principales en esta historia.	 Kay willakuypiqa iskay hatun runam kachkan.
Debe haber una primera vez para todo.	 Tukuy imapaqpas kananmi punta kaq kuti.
Tiene que haber una primera vez para todo.	 Tukuy imapaqqa ñawpaq kuti kanan tiyan.
Hay una necesidad urgente de donaciones de sangre.	 Chayllaraqmi yawar quyta necesitakun.
No hay de que avergonzarse de admitir los defectos.	 Mana p’enqaymi kanchu pantaykunata reqsikuyqa.
No hay modo de confirmar que él esté vivo.	 Manan imaynapipas kawsashasqanmantaqa takyachisunmanchu.
No hay suficiente demanda para este producto.	 Kay rurumantaqa manam suficiente mañakuy kanchu.
No hay nada más importante que la amistad.	 Amistadmantaqa manam imapas aswan allinqa kanchu.
Hay una sola tienda en toda la isla.	 Lliw islapiqa huk tiendallam kachkan.
No hay mucha diferencia entre ambos.	 Chay iskayninpiqa manan anchatachu t’aqanakunku.
No hay mucha diferencia entre los dos.	 Chay iskayninpiqa manan anchatachu t’aqanakunku.
No hay mucha diferencia entre las dos.	 Chay iskayninpiqa manan anchatachu t’aqanakunku.
No parecía haber solución al problema.	 Manapaschá chay sasachakuy allichayqa kanmanchu hina karqan.
En esa esquina antes había una farmacia.	 Chay k’uchupiqa ñawpaqtaqa farmacia karqan.
Solía haber un pequeño santuario por aquí.	 Ñawpaqqa kay muyuriqpi huk huch’uy santuario karqan.
Había una casa de campo en un lado de la colina.	 Chay urqupa waqtanpim huk campo wasi kasqa.
Había un camión en el medio de la calle.	Chawpi callepi huk camion kasqa.
No había nada que Tom pudiera hacer para ayudar a Mary.	 Tomqa manan ima ruwaytapas atirqanchu Mariata yanapananpaq.
Había un buen número de estudiantes en la sala.	 Chay cuartopiqa askha estudiantekunan kasharqanku.
Había bastantes manzanas podridas en la canasta.	 Chay canastapiqa askha ismusqa manzanakunan kashasqa.
En esa época no había radios en Japón.	 Chay tiempopiqa Japón nacionpiqa manan radiokuna karqanchu.
Hay una embajada sueca en Washington D.C.	 Washington DC llaqtapiqa Suecia mama llaqtap embajadanmi kachkan
Todo tiene solución, menos la muerte.	 Tukuy imapas allichayniyuqmi, wañuyllamantaqa.
Está la posibilidad de que Tom llegue tarde.	 Kanmi Tom tardeman chayananpaq.
Hay una necesidad urgente de suministros médicos.	 Chayllaraqmi necesitakun hampikunapaq imakuna.
Aquí no hay nadie que pueda ayudarme a hacerlo.	 Kaypiqa manam pipas yanapawanmanchu chayta ruwanaypaq.
No hay que darle más vueltas.	 Manañan hukmanta qhawarinachu.
No hay mucha diferencia entre ambos.	 Chay iskayninpiqa manan anchatachu t’aqanakunku.
No hay mucha diferencia entre los dos.	 Chay iskayninpiqa manan anchatachu t’aqanakunku.
No hay mucha diferencia entre las dos.	 Chay iskayninpiqa manan anchatachu t’aqanakunku.
No hay nada que no haga por mi familia.	 Manam imapas aylluypaq mana ruwasqayqa kanchu.
No hay nada más importante que los amigos.	 Amistadkunamantaqa manam imapas aswan allinqa kanchu.
No hay nada de malo en como te ves.	 Imayna rikchayniyuq kasqaykipiqa manam imapas mana allinchu.
Todavía hay un hombre sepultado bajo los escombros.	 Kunankamapas huk runam raqrakunapa ukunpi pampasqa kachkan.
Éstos son los zapatos que compré la semana pasada.	 Kaykunaqa qayna semana rantisqay zapatokunam.
Vale la pena leer estos libros al menos una vez.	 Kay librokunaqa huk kutillatapas leenapaqmi.
Esta ropa esta hecha cien por ciento de lana.	Kay pachataqa pachakmanta pachak millmamanta ruranku.
Estas cartas pueden ser escritas por cualquiera secretaria.	 Kay cartakunataqa mayqin secretariopas qillqanman.
Abandonaron a sus hijos en el bosque.	 Wawankuta yunkapi saqirqanku.
Ellos me aconsejaron que fuera a la estación de policía.	 Paykunaqa comisaríaman rinaypaqmi yuyaychawarqanku.
Aceptaron trabajar juntos en el proyecto.	 Paykunaqa rimanakurqankun chay proyectopi kuska llank’anankupaq.
Ellos sólo están esperando que la tormenta cese.	 Paykunaqa suyachkankuraqmi chay wayra-para sayananta.
Ellos trataron en vano de sobornar al testigo.	 Paykunaqa yanqapaqmi chay testigota sobornayta munarqaku.
Han intentado matar al presidente.	 Paykunaqa umalliqta wañuchiyta munarqanku.
Ellos compitieron unos con otros por el premio.	 Chay premiota chaskinankupaqmi paykunapura atipanakurqaku.
Decidieron abolir la antigua restricción.	 Paykunaqa ñawpaq hark’ayta chinkachinankupaqmi yuyaykurqanku.
Se casaron cuando aún eran jóvenes.	 Huch’uyllaraq kashaspan casarakurqanku.
Se afligieron por la desgracia de su amigo.	 Paykunaqa llakisqa karqanku amigonkupa desgracianwan.
No tenían barba, pelo ni cejas.	 Manam barbayuqchu nitaq chukchayuqchu nitaq cejayuqchu.
Ellos hicieron que el piloto volara el helicóptero de la Marina.	 Paykunaqa chay pilototan kamachirqanku Marina nisqa helicóptero nisqapi.
Sin tener mucho dinero, se las apañan para ir viviendo.	 Mana achka qullqiyuq kaspankum kawsakuyta atinku.
Deben estar locos para creer semejante sinsentido.	 Chayna yanqa rimaykunata creenankupaqqa locochá kanku.
Dijeron que no tenían miedo de los contrabandistas.	 Paykunaqa contrabandistakunata mana manchakusqankuta nirqanku.
Dicen que hay fantasmas en esta casa vieja.	 Kay mawka wasipiqa fantasmakuna kasqanmantam ninku.
Hablaban demasiado rápido para que yo les entendiera.	 Paykunaqa nishutan rimasharqanku mana entiendenaypaq.
Ellos lo llevaron al hospital por su fiebre.	Hampina wasiman aparqanku fiebrewan.
Ellos trataron de ocultar lo que realmente estaba pasando.	 Paykunaqa imachus cheqaqtapuni pasashasqanmanta pakayta munarqanku.
Quieren participar en los Juegos Olímpicos.	 Paykunaqa Juegos Olímpicos nisqapi participayta munanku.
Ellos fueron en una expedición a la Antártida.	 Paykunaqa Antártida llaqtamanmi huk expedición nisqaman rirqanku.
Les prohibieron abandonar el hotel.	 Chay hotelmanta lloqsinankupaqmi hark’arqanku.
Estaban demasiado cerca de la puerta para cerrarla.	 Punkupa hichpallanpim kachkarqaku, chaymi manaña wichqarqakuchu.
Si ellos supieran algo, nos lo dirían.	 Imatapas yachaspankuqa willawarqakum.
Me van a echar del país.	 Llaqtamanta qarquwanku.
