español	quechua
Estoy convencidísimo de que Tom no hará eso.	 Yaqa segurom kani Tom mana chayta ruwananta.
Me temo que no puedo acabar este informe a tiempo.	 Manchakuni kay willakuyta mana tiempollanpi tukunaypaq.
Me temo que he derramado café en el mantel.	 Manchapi kukata hich’asqayta manchakuni.
Estaré aquí por un par de meses.	 Iskay kimsa killa kaypi kasaq.
Me quedaré en la piscina un rato más.	 Aswan unaytaraqmi estanquepi qhepakusaq.
Voy a hablar con Tom cuando vuelva a casa.	Wasiyman chayaspaymi Tomwan rimasaq.
Voy al supermercado a comprar huevos.	 Hatun qhatu wasimanmi rini uhuta rantinaypaq.
Espero con ganas a verte pronto.	 Pisi tiempollamantan suyakushani.
Espero con ganas a verte el próximo domingo.	 Hamuq domingo p’unchaypi tupanaykichista suyakushani.
Estoy deseando volver a trabajar contigo.	 Suyachkani hukmanta qamkunawan llamkanaypaq.
Nunca te permitiré volver a hacer eso.	 Manañam haykapipas chayta ruwanaykitaqa saqisaqchu.
No me voy a quedar si no quieres.	 Mana munaspaqa manam qipasaqchu.
No estoy totalmente convencido de eso.	 Manam chaymantaqa totalmente convencisqachu kani.
Yo no soy el mismo tonto que era hace quince años.	 Manam chunka pichqayuq wata ñawpaqta hinachu sonso kani.
No se me da muy bien hacer pizzas, pero a Tom sí.	 Manam ancha allinchu kani pizza ruwaypi, Tommi ichaqa.
Te voy a enviar por avión un regalo de cumpleaños.	 Avionwanmi cumpleaños regalota apachimusqayki.
Lamento molestarte mientras estás conversando.	 Disculpaykusqa kachkaptiyki rimachkaptiyki.
Lo siento, no dejo entrar a gente que no conozco.	 Pampachaykuway, mana riqsisqay runakunataqa manam yaykuchinichu.
Lo siento pero ahora tengo mucho que hacer.	 Disculpaykuway ichaqa kunanqa achka ruwanay kachkan.
Todavía estoy esperando a que se decida Tom.	 Tompa tanteananta suyachkaniraqmi.
Estoy seguro de que nos está ocultando algo.	Seguro kani imatapas pakawasqanchismanta.
Pienso aprender coreano el próximo semestre.	 Hamuq semestrepi coreano simita yachanaypaqmi yuyaykuni.
Siempre quise aprender a tocar la batería.	 Sapa kutim tamborta tocayta yachayta munarqani.
Siempre he querido escribir un libro para niños.	 Wawakunapak liwru qillqayta ñawpaqmantaraqmi munarqani.
Llevo haciendo esto durante los últimos tres años.	 Kay kimsa watañam kayta ruwachkani.
Me han dicho que estás buscando un cuidador.	 Niwarqankun cuidadorta maskhasqaykita.
Llevo tres horas esperando el autobús.	 Kimsa horañam autobusta suyachkani.
Decidí responder a todas las preguntas en público.	 Llapa tapukuykunata runakunapa qayllanpi kutichinaypaqmi tantearurqani.
Aprendí a vivir con el dolor en mi espalda.	 Wasanpi nanaywan kawsakuytam yacharurqani.
Nunca probé algo tan extraño como esto.	 Manam haykapipas kayna extrañotaqa pruebarqanichu.
Si no llueve, puedes montar en bicicleta.	 Mana paramuptinqa bicicletapi puriyta atinki.
Si llueve, la excursión será cancelada.	Paraptinqa excursión nisqa cancelasqa kanqa.
Si no fuera por el Sol, no podríamos vivir.	 Mana Inti kaptinqa manam kawsachwanchu.
Voy a ignorar el teléfono si suena de nuevo.	 Telefonota hukmanta waqaptinqa mana uyarisaqchu.
Si das lo mejor, seguro que vas a tener éxito.	 Tukuy atisqaykita ruwanki chayqa, allintan ruwanki.
Si no tomas vacaciones, colapsarás.	 Mana vacacionta hap'ispaqa urmapunki.
Si no quieres que esté aquí, me iré.	 Mana kaypi kanayta munaptiykiqa, ripusaq.
No tienes que hacerlo si no quieres.	 Mana munaspaqa manam chaytaqa ruwanaykichu.
Si donas un órgano, podrías salvar una vida.	 Sichus huk órgano qonki chayqa, huk kawsaytan qespichiwaq.
Si conduces con cuidado, evitarás accidentes.	 Cuidakuspa carrota manejanki chayqa, manan accidentekunapichu tarikunki.
Si comes bien, es probable que vivas más.	 Allinta mikhuspaqa yaqapaschá aswan unayta kawsanki.
A su derecha pueden ver el mar.	 Paña ladonkupin lamar-qochata rikunku.
Si mezclás azul y rojo, el resultado es púrpura.	 Azulwan pukawan chaqruspaykiqa moradollañam lluqsimun.
Si necesitas un préstamo, dímelo.	 Manukuyta necesitanki chayqa, willaway.
Si quiere hablar conmigo, por favor llámeme.	 Sichus rimapayayta munanki chayqa, ama hina kaspa waqyamuway.
Si quieres hablar conmigo, por favor llámame.	 Sichus rimapayayta munanki chayqa, ama hina kaspa waqyamuway.
Si quieren hablar conmigo, por favor llámenme.	 Sichus rimapayayta munanki chayqa, ama hina kaspa waqyamuway.
¿Qué pensarías si estuvieras en mi lugar?	 ¿Ima niwaqmi ñuqapa rantinpi kaspaykiqa?
Si vas a actuar de esa manera yo me voy.	Chaynata ruwanki chayqa, ripusaqmi.
Si te duele un diente, debes ir a un dentista.	 Kiru nanayniyuq kaspaqa kiru hampiqmanmi rinayki.
En Francia se consume una gran cantidad de vino.	 Francia suyupiqa achka vinotam upyanku.
En otras palabras, no me gusta trabajar con él.	 Huk rimaypiqa, manam gustawanchu paywan llamkayqa.
O sea, que nuestros esfuerzos fueron para nada.	 Huk rimaypiqa, kallpanchakusqaykuqa yanqapaqmi karqa.
En lugar de quejarte, quizá deberías ayudar.	 Quejakunaykimantaqa yaqapaschá yanapanayki.
En lugar de quejaros, quizá deberíais ayudar.	 Quejakunaykimantaqa yaqapaschá yanapanayki.
¿Hay alguna cosa que te alivie el dolor?	 ¿Kanchu imapas nanayta chinkachiq?
¿Hay dinero suficiente para una botella de vino?	 ¿Kanchu qolqe huk botella vinopaq?
¿Hay sitio en tu coche para nosotros tres?	¿Kanchu carroykipi kimsaykupaq sitio?
Es más placentero ser honesto que mentir.	 Llullakuymantaqa honrado kaymi aswan kusikunapaq.
Es un destino muy popular para los turistas.	 Turistakunapaq ancha munasqam.
Es peligroso para ti nadar en este río.	 Kay mayupi nadayqa peligrosom qampaq.
Es difícil para mí responder esta pregunta.	 Kay tapukuyta kutichiyqa sasam ñuqapaq.
Es difícil transmitir exactamente el significado.	 Sasam ima ninan kasqanmanta allinta willakuyqa.
Se espera que la guerra termine dentro de poco.	 Chay guerraqa pisi tiempollamantan tukukunanta suyakun.
Es importante que elijamos buenos amigos.	 Allin amistadkunata akllayqa ancha allinmi.
Para mí es interesante leer mi viejo diario.	 Ñawpa diarioyta leeyqa ancha sumaqmi Ñoqapaqqa.
Eso es como buscar una aguja en un pajar.	 Chayqa huk agujata maskay hinam, huk pajapi.
A veces es difícil distinguir a los gemelos.	 Wakin kutiqa sasam mellizokunata rakiyqa.
Este problema es muy difícil para que lo resuelva.	 Kay sasachakuyqa ancha sasam allichanaykipaq.
Parecía que Tom quería asistir a la fiesta.	 Yaqachus hina Tomqa chay fiestaman riyta munarqan.
Parece que hoy voy a pasar la noche en vela.	 Kunan punchaw tukuy tuta rikchakuqman rikchakun.
Parece que vamos a llegar un poco tarde.	 Yaqachus hina huk chikan tardeña kasun.
Creo que ya te has hartado de Tom.	 Tomwanqa suficientetañam mikurqanki, nispam piensani.
Creo que ya te has cansado de Tom.	 Tomwanqa suficientetañam mikurqanki, nispam piensani.
Comenzó a llover justo cuando yo salía de casa.	Wasimanta lluqsichkaptiymi parayta qallaykurqa.
Costó mucho trabajo mover los muebles.	 Mueblekunata kuyuchinapaqqa achka llamkaymi karqa.
Solía pensarse que la Tierra era plana.	 Ñawpaqqa Pachamamaqa llañullañam nispam yuyaqku.
Era la primera vez que Tom vivía lejos de casa.	 Chaypin Tomqa ñawpaq kutipi wasinmanta karunchakurqan.
Era imposible entender sus preguntas.	 Tapukusqankunataqa manam entiendeyta atirqakuchu.
Fue mi abuelo el que me contó esa historia.	 Chay willakuytaqa abueloymi willawarqa.
Hubo que buscar un guía para el viaje.	 Chay viajepaqqa huk guiata tarinanku karqan.
No fue mi intención herir tus sentimientos.	 Manam sientesqaykita k’iriyta munarqanichu.
Fue el viaje más aburrido de toda mi vida.	 Chayqa karqan tukuy kawsayniypi aswan aburrido viaje.
Era el deporte más popular de este país.	 Kay suyupiqa aswan riqsisqa pukllaymi karqan.
Era muy difícil distinguir a los gemelos.	 Ancha sasam karqa mellizokunata rakiyqa.
Le tomará dos horas terminar el trabajo.	 Iskay horapin chay llank’ayta tukunki.
No tardará mucho para que podamos viajar a Marte.	 Mana unaychu kanqa Marteman viajananchispaq.
Tu sueño pronto será realidad.	 Musquynikiqa pisi tiempollamantam cumplikunqa.
Sería bueno que leyeras más libros.	 Ancha allinmi kanman aswan librokunata leespaykiqa.
Sería mejor que te quedaras hoy en la cama.	 Aswan allinmi kanman kunan punchaw puñunapi qipaspaykiqa.
Habría sido imposible sin tu ayuda.	 Mana yanapayniykiwanqa manan atikunmanchu karqan.
Es un buen día y quiero dar un paseo.	 Allin punchawmi hinaspam puriyta munani.
Es un secreto. No se lo puedes decir a nadie más.	 Chayqa pakasqallam. Manam hukmanqa willayta atiwaqchu.
Fumar en la oficina está contra las reglas.	 Oficinapi cigarrota pitayqa kamachikuypa contranpim kachkan.
Han pasado diez años desde que vine a esta ciudad.	 Chunka watañan pasarqon kay llaqtaman hamusqaymanta.
Es mejor que no nos hablemos más.	 Aswan allinmi manaña rimanakunanchikqa.
Es claro que él no quiere hablar conmigo.	 Sut’inmi mana rimayta munasqanmanta.
Ya estaría bueno que pares de malgastar tu dinero.	 Allinmi kanman qolqeykita manaña usuchiptikiqa.
Es importante que yo sea informado inmediatamente.	 Importantemi chaylla willawanayqa.
No siempre es tan fácil hacer lo correcto.	 Manan sapa kutichu chhayna facil allin kaqta ruwayqa.
No es fácil para mí viajar solo por Japón.	 Japón nacionpiqa manan facilchu ñoqapaq sapallay viajayqa.
No es necesario ingresarlo en el hospital.	 Manataqmi hampina wasiman yaykuchinachu.
No es de buena educación hablar con la boca llena.	 Manan allinchu simi hunt’a rimayqa.
Ya no es seguro estar cerca de mí para Tom.	 Tompaqqa manañam segurochu muyuriqniypi kasqanqa.
Para mí está muy claro que esta es la verdad.	Ancha sut’inmi ñoqapaqqa kay cheqaq kasqanqa.
Se rumorea que hay tesoros escondidos allí.	 Chaypi pakasqa qhapaq kaykuna kasqanmantan rimanku.
Es muy difícil realizar esa empresa.	 Chay llamkayta ruwayqa ancha sasam.
Es muy tarde, así que ya debería estar en la cama.	 Ancha tardeñam, chaymi kunankamaqa puñunaypi kanay.
Avísame si no vas a llegar a tiempo.	 Willaway mana tiempollanpi chayanaykipaq kaptinqa.
El saber no es nada, la imaginación lo es todo.	 Yachayqa manam imapaschu, yuyaymanayqa tukuy imapas.
Aprender a tocar un instrumento ejercita la mente.	 Instrumentota tocayta yachayqa yuyayta ejerciciota ruwan.
Prestame los binoculares para verlo mejor.	 Chay prismáticos nisqakunata prestaway aswan allinta qhawanaypaq.
Hagamos algo de ejercicio para hacer apetito.	 Wakin ejerciciota ruwasun mikhuy munasqanchista wiñachinapaq.
Ojalá que Tom no haya firmado el contrato todavía.	 Munaymanmi Tom manaraq contratota firmasqanmanta.
Abramos las ventanas y aireemos este lugar.	 Ventanakunata kichaspa kay sitiota wayrawan lluqsichisun.
Vida y muerte son dos caras de una misma moneda.	 Kawsaypas wañuypas huk qullqipa iskay ladonmi.
Escucha atentamente y haz lo que te diga.	Allinta uyariy hinaspa nisusqaykiman hina ruway.
Muchos niños en esta escuela están malnutridos.	 Kay yachay wasipi achka wawakunami mana mikushka kan.
Muchos trenes atraviesan el viejo túnel de piedra.	 Achka trenkunam ñawpa rumimanta tunelninta pasanku.
Marilyn Monroe murió a los 36 años.	 Marilyn Monroe sutiyoq warmin 36 watanpi wañupurqan.
Mary puede cocinar de todo sin utilizar recetas.	 Mariaqa imatapas wayk’uyta atinmi mana recetakunata utilizaspa.
María aún vive en la casa de sus padres.	 Mariaqa tayta-mamanpa wasinpiraqmi tiyan.
Mary no es mi novia. Es sólo una amiga.	 Mariaqa manam amigaychu. Amigollanmi.
Mary se separó de su marido hace dos años.	 Mariaqa iskay wata ñawpaqtaraqmi qosanmanta t’aqakapurqan.
Mary quiso preguntar algo pero no lo hizo.	 Mariaqa imatapas tapuyta munarqanmi ichaqa manan tapurqanchu.
Mary quería preguntar algo pero no lo hizo.	 Mariaqa imatapas tapuyta munarqanmi ichaqa manan tapurqanchu.
Mary quiso hacer una pregunta pero no la hizo.	 Mariaqa tapuyta munarqanmi ichaqa manan tapuyta munarqanchu.
Mary quería hacer una pregunta pero no la hizo.	 Mariaqa tapuyta munarqanmi ichaqa manan tapuyta munarqanchu.
Mary no es linda, pero no es fea tampoco.	 Mariaqa manan sumaqchu, ichaqa manan millaychu.
A mi hermano se le da muy bien tocar la guitarra.	 Wawqiyqa ancha allinmi guitarrata tocananpaq.
Mi hermano es muy bueno tocando la guitarra.	 Wawqiyqa ancha allinmi guitarrata tocananpaq.
A mi hermano le encanta fotografiar montañas.	 Wawqeyqa anchatan munan orqokunata fotota horqoyta.
Mi confianza en la próxima generación crece.	 Qatiqnin miraykunapi hapipakuyniyqa wiñanmi.
Mi padre y yo vamos a pescar juntos a veces.	 Taytaywan kuska challwaq riyku wakin kuti.
Mi padre y mi hermano trabajan en esta fábrica.	Taytaywan wawqiywan kay fabricapi llamkanku.
Se me durmieron los pies y no pude levantarme.	 Chakiykunam puñururqa, chaymi manaña hatariyta atirqanichu.
Mi amigo me preguntó si me sentía bien.	 Amigoymi tapuwarqa allinchu sientekusqayta.
Mi abuelo se hacía sus propios muebles.	 Abueloyqa kikinmanta mueblekunata ruwaq.
Mi abuela sale a pasear de noche.	 Hatun mamayqa tuta puriq lluqsimun.
Mi madre tiene dos años menos que mi padre.	 Mamayqa iskay wata sullk’an taytaymanta.
Mi madre me miró con lágrimas en los ojos.	 Mamayqa waqayllaña qawawarqa.
Mis padres no me dejan ir a la fiesta.	 Tayta mamayqa manam saqiwanqachu fiestaman rinaypaq.
Mi hermana no es buena cocinera y yo tampoco.	 Ñañayqa manan allin wayk’uqchu nitaqmi ñoqapas.
Mi hermana solía encargarse del parterre.	 Ñañaymi t’ika pampata cuidaq.
Mi mujer siempre se está quejando de algo.	 Warmiyqa imamantapas quejakuqpunim.
Mi esposa se está cansando de la rutina diaria.	 Warmiyqa sapa punchaw muyuchiymanta sayk’usqañam kachkan.
Napoleón vivió en la isla Elba en exilio.	 Napoleónqa Elba wat'apim qarqusqa kaspa tiyarqan.
Nunca pensé encontrarla en un lugar como ese.	 Manam haykapipas piensarqanichu chayna sitiopi tarinaytaqa.
Nunca abras la puerta de un auto en movimiento.	 Ama hayk’aqpas kuyushaq carroq punkunta kichaychu.
Nadie parecía tener un motivo para el asesinato.	 Manapaschá pipas imaraykupas chay wañuchisqankuqa kanmanchu.
Hoy no se puede conseguir nada sin dinero.	 Kunan punchawqa mana qullqiyuqqa manam imatapas tariyta atiwaqchu.
Ella colapsó en llanto al oír las malas noticias.	 Chay mana allin willakuyta uyarispanmi waqastin pakikururqa.
Sólo entonces comprendió que había sido engañado.	 Chayraqmi repararan engañasqa kasqanta.
Nuestro restaurante es mejor que ese.	 Restauranteykuqa chaymantaqa aswan allinmi.
Nos robaron nuestras cosas y perdimos el tren.	Imapas suwawarqankun trentataq faltarqayku.
Nuestra meta final es establecer la paz mundial.	 Tukuyninpiqa pachantinpi thak kawsayta sayarichiymi.
La participación es voluntaria y gratuita.	 Participacionqa voluntario hinaspa gratismi.
En una situación así se cometen errores.	 Chhayna situacionpiqa pantaykunan ruwakun.
Por favor, no duden en hacerme cualquier pregunta.	 Ama hina kaspa, ama iskayrayaspa ima tapukuytapas tapuwaychik.
Por favor, solo dime qué es lo que quieres hacer.	 Ama hina kaspa, willawaylla ima ruway munasqaykita.
Por favor, escríbame una carta en cuanto llegue.	 Ama hina kaspa, chayamusqaykiman hina huk cartata qillqamuway.
Por favor, escríbeme una carta en cuanto llegues.	 Ama hina kaspa, chayamusqaykiman hina huk cartata qillqamuway.
Por favor baja un poco más el volumen.	 Ama hina kaspa, aswan pisita uraykachiy.
Por favor, lávate bien las manos antes de comer.	 Ama hina kaspa, manaraq mikhuchkaspa makiykita allinta mayllakuy.
Posiblemente, el accidente retrase su llegada.	 Yaqapaschá chay accidenteqa tardarqan chayamunanpaq.
Antiguamente se pensaba que la Tierra era plana.	 Ñawpaqtaqa Pachamamaqa llañullañam nispam yuyaqku.
Humos punzantes surgieron de la mezcla química.	 Chay químico chaqrusqamantaqa sinchi q’osñikunan wicharirqan.
Pon esta medicina fuera del alcance de los niños.	 Kay hampitaqa warmakunapa mana aypananpaqmi waqaychana.
Ella hizo como si no le importara lo que pasó.	 Payqa mana imananpaschu imachus pasasqanmanta hinan ruwarqan.
Ella me pidió una inaceptable suma de dinero.	 Payqa mana chaskiy atina qolqetan mañakuwarqan.
Ella me pidió ayuda cuando tenía problemas.	 Payqa sasachakuykunapi tarikuspanmi yanapakuyta mañakuwaq.
Ella se puso a llorar apenas salió de la pieza.	Chay cuartomanta lloqsispallam waqayta qallaykurqa.
Ella compró esa cámara cuando estaba en Japón.	 Chay camarataqa Japón nacionpi kashaspan rantirqan.
Ella se quemó mientras encendía un cigarrillo.	 Payqa cigarrota rawrachkaspanmi ruparurqa.
Ella bajó las escaleras con una carta en la mano.	 Payqa huk cartata makinpi hap’ispa uraykamusqa.
Ella no pudo convencerlo de aceptar el soborno.	 Payqa manan convencechiyta atirqanchu sobornota chaskinanpaq.
Ella lo cremó a 24 horas de su muerte.	 Wañusqanmanta 24 horas qhepamanmi ruphachirqan.
Ella esperaba que él le comprase un regalo caro.	 Payqa suyasqa ancha chaninniyuq regalota rantinanta.
Ella me explicó cómo usar el secador de pelo.	 Paymi sut’inchawarqan chukcha ch’akichinata imayna utilizanaypaq.
Ella no ha ido al colegio desde hace cinco días.	 Pichqa punchawñam mana escuelaman rinchu.
