español	quechua
Tom comentó que te gustaría ir con nosotros.	 Tomqa ñuqaykuwan riyta munanki nispam nirqa.
Tom podría no saber qué se supone que debe hacer.	 Tomqa manapaschá yachanmanchu ima ruwananta.
Tom casi murió después de comer un poco de hígado crudo.	 Tomqa yaqa wañupurqanmi wakin q’omer higadota mikhuspa.
Tom no confirmó ni negó los rumores.	 Tomqa manan confirmarqanchu nitaq negarqanchu chay rimaykunata.
Tom ofreció patatas fritas a Mary y John.	 Tomqa Maryman Johnman ima chips nisqakunata haywarirqan.
Tom a menudo toma un poco de vino después de cenar.	 Tomqa sapa kutillanmi cena qhepaman vinota ukyan.
Tom pedaleó su bicicleta tan rápido como pudo.	 Tomqa atisqanman hinan bicicletanta pedalarqan.
Tom recogió el cuchillo y vio que había sangre en él.	 Tomqa cuchillota hoqarispan yawar kashaqta rikurqan.
Tom plantó algunas semillas de flores en su jardín.	 Tomqa huertanpin t’ika muhukunata tarpurqan.
Tom toca excepcionalmente bien el vibráfono.	 Tomqa vibrafono nisqataqa excepcionalmente allintam tocan.
Tom le prometió a Mary que él nunca la dejaría.	 Tomqa Marymanmi prometesqa mana hayk’aqpas saqenanta.
Tom prometió ayudar a Mary con su tarea.	 Tomqa prometerqanmi Maryta tareankunapi yanapananpaq.
Tom puso un anillo de compromiso en el dedo de María.	Tomqa Mariaq dedonmanmi compromiso anillota churarqan.
Tom leía cualquier cosa que cayera en sus manos.	 Tomqa ima makinmanpas hap’iyta atisqanman hinan leeq.
Tom de verdad quería ir con Mary a Boston.	 Tomqa anchatan munarqan Marywan Boston llaqtaman riyta.
Tom recordó a los conejos que solía criar.	 Tomqa yuyarirqanmi ñawpaq uywasqan conejokunata.
Tom retiró la astilla del dedo de María.	 Tomqa Mariaq dedonmantan chay t’aqa t’aqata horqorqan.
Tom dijo que no quería viajar con Mary.	 Tomqa nirqam Marywan mana viajayta munasqanmanta.
Tom dijo que escuchó tres tiros esa noche.	 Tommi nirqa chay tuta kimsa disparokuna uyarisqanmanta.
Tom dijo que pensaba que Mary estaba con John.	 Tomqa nirqam Mary Johnwan kasqanpi piensasqanmanta.
Tom dijo que entiende cómo te sientes.	 Tommi nirqa imayna sientekusqaykita entiendesqayta.
Tom dijo que estaría aquí pero no lo encuentro.	 Tomqa kaypi kananmanta nirqa ichaqa manam tarinichu.
Tom dijo que no tenía la edad suficiente para conducir.	 Tommi nirqa manaña carrota manejananpaq hinañachu kasqanmanta.
Tom dijo que preferiría no hacer eso hoy.	 Tomqa aswan allinmi kanman kunan punchaw mana chayta ruwayqa.
